ID,Arrondissement,Nom_parc_lieu,Proximité_jeux_repère,Intersection,Etat,Date_installation,Remarque,Precision_localisation,X,Y,Longitude,Latitude
15,Saint-Léonard,Hébert (Stade),Baseball,rue Colbert/boul. Métropolitain Est,,,,orthophotographies,297450.41,5048206.42,-73.5941673390367,45.5737277378482
16,Saint-Léonard,Hébert (Stade),Soccer,rue de Viterbe/rue de Viterbe,,,,orthophotographies,297595.18,5048152.18,-73.5923116621237,45.5732411836133
17,Saint-Léonard,Hébert (Stade),Pavillon,rue Colbert/boul. Provencher,,,,orthophotographies,297620.82,5048037.96,-73.5919814726014,45.5722136618172
18,Saint-Léonard,Hébert (Stade),Stade (l'entrée sous-sol),rue Colbert/boul. Métropolitain Est,,,,orthophotographies,297518.57,5048198.03,-73.5932939085551,45.5736529585964
19,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297589.11,5048062.64,-73.5923881127418,45.5724354122334
20,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297587.9,5048061.19,-73.5924035942125,45.5724223521469
21,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297575.68,5048086.1,-73.5925605285234,45.5726463732631
22,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297577.76,5048084.96,-73.5925338620210,45.5726361367813
23,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297579.26,5048083.81,-73.5925146265321,45.5726258042923
24,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297581.13,5048082.8,-73.5924906525568,45.5726167354014
25,Saint-Léonard,Hébert (Parc),Carré de sable,rue Colbert/boul. Provencher,,,,orthophotographies,297575.08,5048019.23,-73.5925672274284,45.5720446501215
26,Saint-Léonard,Ladauversière,Bocce,rue de Meudon/boul. Lacordaire,,,,orthophotographies,298274.39,5049047.39,-73.5836212582356,45.5813032552857
27,Saint-Léonard,Ladauversière,Piscine,rue de Meudon/boul. Lacordaire,,,accès restreint,orthophotographies,298309.22,5049078.31,-73.5831753467495,45.5815818084528
28,Saint-Léonard,Ladauversière,Piscine,rue de Meudon/boul. Lacordaire,,,accès restreint,orthophotographies,298350.2,5049103.86,-73.5826505511845,45.5818120960631
29,Saint-Léonard,Ladauversière,Piscine,rue de Meudon/boul. Lacordaire,,,accès restreint,orthophotographies,298358.77,5049108.4,-73.5825407914425,45.5818530277291
30,Saint-Léonard,Ladauversière,Piscine,rue de Meudon/boul. Lacordaire,,,accès restreint,orthophotographies,298312.39,5049071.44,-73.5831346339605,45.5815200197243
31,Saint-Léonard,Ladauversière,Baseball,rue Jean-Talon Est/rue de Pontoise,,,,orthophotographies,298489.01,5049176.95,-73.5808727253446,45.5824710546093
32,Saint-Léonard,Giuseppe-Garibaldi,Piscine,rue de Côme/rue La Dauversière,,,accès restreint,orthophotographies,299177.5,5049649.24,-73.5720554549725,45.5867267641060
33,Saint-Léonard,Giuseppe-Garibaldi,Pavillon,rue de Côme/rue La Dauversière,,,,orthophotographies,299163.16,5049603.25,-73.5722386990733,45.5863128166389
34,Saint-Léonard,Giuseppe-Garibaldi,Pavillon,rue de Côme/rue La Dauversière,,,,orthophotographies,299160.52,5049604.25,-73.5722725434083,45.5863217935310
35,Saint-Léonard,Giuseppe-Garibaldi,Baseball,rue Liénard/rue La Dauversière,,,,orthophotographies,299039.32,5049611.05,-73.5738258563620,45.5863819887031
36,Saint-Léonard,Saint-Léonard,Pavillon de la scène,boul. Lacordaire/rue des Galets,,,,orthophotographies,297412.2,5049561.24,-73.5946773947037,45.5859184052737
37,Saint-Léonard,Saint-Léonard,Pavillon de la scène,boul. Lacordaire/rue des Galets,,,,orthophotographies,297418.27,5049552.31,-73.5945994705437,45.5858381150145
38,Saint-Léonard,Saint-Léonard,Pavillon de la scène,boul. Lacordaire/rue des Galets,,,,orthophotographies,297425.29,5049566.73,-73.5945097246301,45.5859679447740
39,Saint-Léonard,Saint-Léonard,Pavillon de la scène,boul. Lacordaire/rue des Galets,,,,orthophotographies,297428.27,5049557.43,-73.5944713944749,45.5858842922942
40,Saint-Léonard,aréna Martin-Brodeur,Soccer,rue des Galets/rue de l'Aunis,,,,orthophotographies,297119.5,5049569.42,-73.5984285768339,45.5859888409044
41,Saint-Léonard,aréna Martin-Brodeur,Aréna,rue des Galets/rue de l'Aunis,,,,orthophotographies,297102.72,5049449.89,-73.5986417349467,45.5849130902329
42,Saint-Léonard,aréna Martin-Brodeur,Aréna,rue des Galets/rue de l'Aunis,,,,orthophotographies,297107.02,5049453.19,-73.5985866818955,45.5849428321497
43,Ahuntsic-Cartierville,Prieur,Jardins communautaires,rue Sackville/rue Prieur Est,,,accès restreint,orthophotographies,293151.73,5048680.08,-73.6492557330476,45.5779311872942
44,Ahuntsic-Cartierville,,Jardins communautaires,rue Frémont/avenue De Chateaubriand,,,accès restreint,orthophotographies,292953.69,5045875.79,-73.6517253756271,45.5526940005986
45,Ahuntsic-Cartierville,,Jardins communautaires,rue Deschamps/rue Letellier,,,accès restreint,orthophotographies,289589.09,5044953.59,-73.6947896703629,45.5443303990800
46,Ahuntsic-Cartierville,,Jardins communautaires,rue Deschamps/rue Letellier,,,accès restreint,orthophotographies,289590.59,5044960.86,-73.6947706874980,45.5443958495668
47,Ahuntsic-Cartierville,du Petit-Bois-Franc,Jardins communautaires,rue Dudemaine/rue Grenet,,,accès restreint,orthophotographies,288688.91,5042752.27,-73.7062448098801,45.5245019742243
48,Ahuntsic-Cartierville,Ahuntsic (près de),Jardins communautaires,avenue Durham/boul. Henri-Bourassa Est,,,accès restreint,orthophotographies,291837.96,5046357.6,-73.6660281500602,45.5570096029911
49,Ahuntsic-Cartierville,Marcelin-Wilson,Jardins communautaires,avenue Marcelin-Wilson/rue Defoy,,,accès restreint,orthophotographies,290512.32,5044177.23,-73.6829442674349,45.5373640079733
50,Ahuntsic-Cartierville,Saint-Sulpice (JC),Jardins communautaires,ave Émile-Journault/ave André-Grasset,,,accès restreint,orthophotographies,294235.31,5046379.95,-73.6353215573431,45.5572512175254
51,Ahuntsic-Cartierville,Saint-Sulpice (JC),Jardins communautaires,ave Émile-Journault/ave André-Grasset,,,accès restreint,orthophotographies,294184.58,5046303.11,-73.6359696810356,45.5565590150628
52,Ahuntsic-Cartierville,Du Sault-au-Récollets (JC),Jardins communautaires,rue du Pressoir (tourne-bride)/boul. Gouin Est,,,accès restreint,orthophotographies,292333.66,5048494.82,-73.6597333507135,45.5762499897693
53,Ahuntsic-Cartierville,Ahuntsic,,rue Lajeunesse/rue Prieur Est,,,,orthophotographies,291787.23,5046257.8,-73.6666752827003,45.5561106256678
54,Ahuntsic-Cartierville,Avila-Vidal,Modules pour enfants,rue Filion/rue de la Paix,,,,orthophotographies,289515.25,5043300.34,-73.6956836482083,45.5294523034188
55,Ahuntsic-Cartierville,De Beauséjour,,boul. Gouin Ouest/rue Henri-D'Arles,,,,orthophotographies,286655.11,5043216.86,-73.7322973382624,45.5286325299218
56,Ahuntsic-Cartierville,Du Cardinal-Paul-Émile-Léger,,rue Chabanel Est/ave De Galinée,,,,orthophotographies,293685.77,5046588.35,-73.6423652483467,45.5591179113194
57,Ahuntsic-Cartierville,Du Boisé-De-Saint-Sulpice,,ave Olivier-Maurault/rue Legendre Est,,,,orthophotographies,293771.51,5046057.51,-73.6412550160094,45.5543426076567
58,Ahuntsic-Cartierville,De Bordeaux,,rue Viel/boul. de l'Acadie,,,,orthophotographies,289197.05,5044677.87,-73.6998012836626,45.5418407134645
59,Ahuntsic-Cartierville,Roland-Giguère,,Place de l'Acadie (tourne-bride),,,,orthophotographies,290685.06,5043602.12,-73.6807158813563,45.5321924961963
60,Ahuntsic-Cartierville,D'Auteuil,Baseball,rue Saint-Denis/rue Sauvé Est,,,,orthophotographies,292630.73,5045446.11,-73.6558510868443,45.5488220330590
61,Ahuntsic-Cartierville,D'Auteuil,Pavillon,rue Saint-Denis/rue Sauvé Est,,,,orthophotographies,292562.6,5045548.7,-73.6567261857860,45.5497439773201
62,Ahuntsic-Cartierville,D'Auteuil,,rue Saint-Denis/rue Sauvé Est,,,,orthophotographies,292510,5045500.53,-73.6573986293738,45.5493096019002
63,Ahuntsic-Cartierville,Ahuntsic,,rue Lajeunesse/rue Prieur Est,,,,orthophotographies,292107.24,5046329.48,-73.6625782814415,45.5567615314066
64,Ahuntsic-Cartierville,Ahuntsic,,rue Lajeunesse/rue Prieur Est,,,,orthophotographies,292107.24,5046329.48,-73.6625782814415,45.5567615314066
65,Ahuntsic-Cartierville,De la Merci,,boul. Gouin Est/rue Poincaré,,,,orthophotographies,289403.22,5045174.2,-73.6971768320911,45.5463114327480
66,Ahuntsic-Cartierville,De Mésy,,rue Legault/rue Grenet,,,,orthophotographies,287819.83,5043362.35,-73.7173913333422,45.5299710451682
67,Ahuntsic-Cartierville,Des Hirondelles,,rue Fleury Est/rue Larose,,,,orthophotographies,293882.41,5048443.23,-73.6398878627745,45.5758117920313
68,Ahuntsic-Cartierville,Des Hirondelles,,rue Fleury Est/rue Larose,,,,orthophotographies,293830.99,5048325.81,-73.6405440732804,45.5747544042729
69,Ahuntsic-Cartierville,Des Hirondelles,,rue Fleury Est/rue Larose,,,,orthophotographies,293743.44,5048479.59,-73.6416693125804,45.5761367754353
70,Ahuntsic-Cartierville,Des Hirondelles,,rue Fleury Est/rue Larose,,,,orthophotographies,293469.35,5048691.27,-73.6451861649691,45.5780371229728
71,Ahuntsic-Cartierville,Gabriel-Lalemant,,rue de Lille/rue Sauvé Est,,,,orthophotographies,293648.93,5047932.46,-73.6428677953635,45.5712120325848
72,Ahuntsic-Cartierville,Gabreil-Lalemand,,rue Sauvé Est/rue de Lille,,,,orthophotographies,293655.1,5047941.81,-73.6427889586055,45.5712962654717
73,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293660.36,5047951.68,-73.6427217924050,45.5713851628507
74,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293129.31,5045314.83,-73.6494626952386,45.5476492655392
75,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293130.87,5045310.16,-73.6494426055465,45.5476072694801
76,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293109.09,5045210.14,-73.6497191443933,45.5467068913082
77,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293017.24,5045327.11,-73.6508982296043,45.5477578781529
78,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293019.18,5045330.78,-73.6508734730469,45.5477909348337
79,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293013.12,5045351.45,-73.6509515792422,45.5479768277479
80,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293204.3,5045290.96,-73.6485017606100,45.5474357279059
81,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,292811.77,5045387.69,-73.6535310960871,45.5482994905555
82,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,292940.52,5045395.48,-73.6518824127463,45.5483717917014
83,Ahuntsic-Cartierville,J.-J.-Gagnier,,rue J.-J.-Gagnier/rue Prieur Est,,,,orthophotographies,293186.26,5048936.75,-73.6488193836909,45.5802413529268
84,Ahuntsic-Cartierville,Jean-Matucci,,ave. André-Grasset/ave. Émile-Journault,,,,orthophotographies,294303.18,5046270.61,-73.6344498765934,45.5562683676585
85,Ahuntsic-Cartierville,Jean-Matucci,,ave. André-Grasset/ave. Émile-Journault,,,,orthophotographies,294309.65,5046247.87,-73.6343665173268,45.5560638433353
86,Ahuntsic-Cartierville,Jeanne-Sauvé (parc du pont Ahuntsic),,rue Basile-Routhier/ave. Parc Stanley,,,,orthophotographies,291311.43,5046366,-73.6727725677358,45.5570751877587
87,Ahuntsic-Cartierville,Lefebvre,,rue Cousineau/rue Laurin,,,,orthophotographies,287416.23,5043075.41,-73.7225482655434,45.5273791165665
88,Ahuntsic-Cartierville,Lomer-Gouin,,rue De Saint-Firmin/boul. Gouin Est,,,,orthophotographies,292400.48,5048161.69,-73.6588687254571,45.5732535859795
89,Ahuntsic-Cartierville,De Louisbourg,,rue De Louisbourg/rue De Meulles,,,,orthophotographies,288649.87,5043302.87,-73.7067627243823,45.5294555533529
90,Ahuntsic-Cartierville,De Louisbourg,,rue De Louisbourg/rue De Meulles,,,,orthophotographies,288616.64,5043185.73,-73.7071842802365,45.5284007181151
91,Ahuntsic-Cartierville,De Louisbourg,,rue De Louisbourg/rue De Meulles,,,,orthophotographies,288600.47,5043243.34,-73.7073931971887,45.5289187362999
92,Ahuntsic-Cartierville,Marcelin-Wilson,,boul. de l'Acadie/rue Dudemaine,,,,orthophotographies,290331.33,5044135.17,-73.6852604694240,45.5369818033720
93,Ahuntsic-Cartierville,Marcelin-Wilson,,boul. de l'Acadie/rue Dudemaine,,,,orthophotographies,290350.95,5044125.36,-73.6850089618831,45.5368939368997
94,Ahuntsic-Cartierville,Marcelin-Wilson,,boul. de l'Acadie/rue Dudemaine,,,,orthophotographies,290367.11,5044112.67,-73.6848016725720,45.5367800830190
95,Ahuntsic-Cartierville,Marcelin-Wilson,,boul. de l'Acadie/rue Dudemaine,,,,orthophotographies,290391.92,5044097.09,-73.6844835434965,45.5366404025044
96,Ahuntsic-Cartierville,Maurice-Richard,,ave. Park Stanley/rue Basile-Routhier,,,,orthophotographies,291256,5046411.88,-73.6734838273432,45.5574869538941
97,Ahuntsic-Cartierville,Nicolas-Viel,,boul. Gouin Ouest/rue Saint-Urbain,,,,orthophotographies,290964.72,5045655.96,-73.6771934103038,45.5506792271636
98,Ahuntsic-Cartierville,Nicolas-Viel,,boul. Gouin Ouest/rue Saint-Urbain,,,,orthophotographies,290966.02,5045661.89,-73.6771769284716,45.5507326129766
99,Ahuntsic-Cartierville,Olympia/Gouin,,boul. Gouin Est/boul. Olympia,,,,orthophotographies,291996.46,5047112.49,-73.6640177269551,45.5638052642209
100,Ahuntsic-Cartierville,Stanley/rue piétonne,,ave. Park Stanley/ave. Durham,,,,orthophotographies,291288.51,5046442.36,-73.6730682536757,45.5577618537941
101,Ahuntsic-Cartierville,Rosanne-Laflamme,,boul. O'Brien/rue Dudemaine,,,,orthophotographies,289173.31,5043128.27,-73.7000558338182,45.5278963770113
102,Ahuntsic-Cartierville,Saint-Alphonse,,ave. Émile-Journault/ave. De Chateaubriand,,,,orthophotographies,293831.96,5045535.49,-73.6404690611218,45.5496462564262
103,Ahuntsic-Cartierville,Saint-Alphonse,,ave. Émile-Journault/ave. De Chateaubriand,,,,orthophotographies,293981.45,5045446.01,-73.6385525514253,45.5488434239487
104,Ahuntsic-Cartierville,Saint-André-Apôtre,,rue Prieur Ouest/ave. de l'Esplanade,,,,orthophotographies,291473.29,5045153,-73.6706663041195,45.5461633503817
105,Ahuntsic-Cartierville,Saint-André-Apôtre,,rue Prieur Ouest/ave. de l'Esplanade,,,,orthophotographies,291423.42,5045161.79,-73.6713051933843,45.5462414897022
106,Ahuntsic-Cartierville,Saint-Benoît,,rue Meilleur/rue Sauvé Ouest,,,,orthophotographies,291816.18,5044545.09,-73.6662590343114,45.5406996525384
107,Ahuntsic-Cartierville,Sainte-Odile,,rue De Salaberry/rue Marsan,,,,orthophotographies,288817.12,5043857.08,-73.7046395979109,45.5344463717281
108,Ahuntsic-Cartierville,Sainte-Odile,,rue De Salaberry/rue Marsan,,,,orthophotographies,288775.21,5043938.22,-73.7051788515544,45.5351755330588
109,Ahuntsic-Cartierville,Sainte-Odile,,rue De Salaberry/rue Marsan,,,,orthophotographies,288427.52,5044006.19,-73.7096328615590,45.5357790660945
110,Ahuntsic-Cartierville,Saint-Paul-de-la-Croix,,rue Sauriol Est/ave. Hamel,,,,orthophotographies,292831.25,5046832.43,-73.6533169667666,45.5613000527922
111,Ahuntsic-Cartierville,Saint-Paul-de-la-Croix,,ave. Hamel/rue Sauvé Est,,,,orthophotographies,292945.4,5046756.6,-73.6518528982769,45.5606196642886
112,Ahuntsic-Cartierville,Saint-Simon-Apôtre,,rue Meunier/rue Legendre Est,,,,orthophotographies,293149.89,5044456.84,-73.6491787141556,45.5399291284247
113,Ahuntsic-Cartierville,de Salaberry,,rue Pasteur/rue de Louisbourg,,,,orthophotographies,289654.38,5044304.26,-73.6939334879104,45.5384889439353
114,Ahuntsic-Cartierville,du Sault-au-Récollet,,ave. Charton/rue Fleury Est,,,,orthophotographies,292879.52,5047784.86,-73.6527218623452,45.5698711311723
115,Ahuntsic-Cartierville,du Sault-au-Récollet,,ave. Charton/rue Fleury Est,,,,orthophotographies,292835.47,5047872.51,-73.6532883620273,45.5706590755614
116,Ahuntsic-Cartierville,Tolhurst,,rue Tolhurst/rue Fleury Ouest,,,,orthophotographies,291886.3,5044916.85,-73.6653709519651,45.5440461751636
117,Ahuntsic-Cartierville,Victor-Barbeau,,rue Lucien-Plante/rue Ernest-Savignac,,,,orthophotographies,294583.6,5046316.56,-73.6308590500136,45.5566860114634
118,Lachine,,piste de course,rue Esther-Blondin/rue Duff Court,,,école secondaire Dalbé-Viau,orthophotographies,290727.24,5033930.29,-73.6798985861241,45.4451622720691
119,Lachine,Carignan,,42² ave/rue Provost,,,,orthophotographies,288995.91,5033706.95,-73.7020236724136,45.4431155533198
120,Lachine,Dixie,,rue Victoria/54²ave,,,,orthophotographies,287728.33,5033782.23,-73.7182296445682,45.4437631502532
121,Lachine,de la Renaissance,,ter. Louis-Basile_pigeon/ter.J.-S.-Aimé-Ashby,,,,orthophotographies,289956.51,5033985.23,-73.6897527879088,45.4456407060950
122,Lachine,Lasalle,,rue Victoria/10e ave,,,,orthophotographies,291277.6,5033081.49,-73.6728397903953,45.4375352201740
123,Lachine,Lasalle,,16e ave/rue Remembrance,,,,orthophotographies,290983.65,5033112.99,-73.6765978490507,45.4378129256955
124,Lachine,Lasalle,stade,rue Saint-Ambroise/10e ave,,,,orthophotographies,291310.61,5033287.33,-73.6724235083680,45.4393881073424
125,Lachine,Lasalle,face au stade,10e ave/rue Saint-Ambroise,,,,orthophotographies,291285.22,5033279.31,-73.6727478256452,45.4393154491021
126,Lachine,Lasalle,,rue Saint-Antoine/13e ave,,,,orthophotographies,290973.32,5033326.31,-73.6767358769674,45.4397322791747
127,Lachine,Stoney Point,,boul. Saint-Joseph/46e ave,,,,orthophotographies,288624.13,5032961.24,-73.7067515964051,45.4363967988034
128,Lachine,Saint-Louis,,boul. Saint-Joseph/32e ave,,,,orthophotographies,289726.63,5032607.49,-73.6926492640046,45.4332382208168
129,Lachine,Village Saint-Louis,,rue Dalbé-Viau,,,,orthophotographies,289434.38,5033821.1,-73.6964223087907,45.4441525043676
130,Lachine,Monk,,boul. Saint-Joseph/7e ave,,,,orthophotographies,291448.26,5032370.28,-73.6706391802007,45.4311386775380
131,Lachine,Brewster,,rue Broadway/44e ave,,,,orthophotographies,288785.58,5032991.65,-73.7046890287225,45.4366741589851
132,Lachine,Grovehill,,rue Saint-Antoine/33e ave,,,,orthophotographies,289611.5,5033420.94,-73.6941458049357,45.4405555457854
133,Lachine,Rosewood,,rue Rosewood/ave de Mount Vernon,,,,orthophotographies,292866.13,5034445.43,-73.6525687702489,45.4498375420882
134,Lachine,Wilfrid-Vincent,,rues des Érables/ave Richardson,,,,orthophotographies,292849.24,5033780.16,-73.6527685400731,45.4438508299377
135,Lachine,Sainte-Anne,,rue Provost/24e ave,,,,orthophotographies,290340.85,5033539.99,-73.6848264937758,45.4416422802227
137,Villeray–Saint-Michel–Parc-Extension,Frédéric-Back,,rue des Regrattiers/rue Paul-Boutet,,,Grands Parcs,,295750.32,5046671.85,-73.6159214617419,45.5598991674733
138,Verdun,Arthur-Therrien,,boul. Gaétan-Laberge/rue Rhéaume,,,,orthophotographies,299963.51,5036342.72,-73.5618509460977,45.4669954529513
139,Verdun,Arthur-Therrien,,boul. Gaétan-Laberge/rue Hickson,,,,orthophotographies,299954.98,5036007.6,-73.5619567276014,45.4639798217384
140,Verdun,Lacoursière,,chemin du Golf/rue des Camélias,,,,orthophotographies,300864.9,5036251.56,-73.5503228895368,45.4661808111553
141,Verdun,Desmarchais,,boul. Lasalle/5e ave,,,,orthophotographies,299821.62,5035074.19,-73.5636526445142,45.4555796005352
142,Verdun,Centre communautaire Marcel Giroux,cour arrière,rue Willibrord/rue Bannantyne,,,,orthophotographies,298798.49,5035490.82,-73.5767392694651,45.4593206045246
143,Verdun,Adrien-D.Archambault,soccer,boulevard de la Forêt,,,,orthophotographies,300300.8,5035022.26,-73.5575254659587,45.4551155581432
144,Verdun,Adrien-D.Archambault,soccer,boulevard de la Forêt,,,,orthophotographies,300289.34,5035152.93,-73.5576731886907,45.4562913183312
145,Verdun,Duquette,,rue Newmarch/rue Dupuis,,,,orthophotographies,298957.81,5036209.29,-73.5747106391521,45.4657870976596
146,Verdun,Elgard,tennis,rue Elgar (tourne-bride),,,,orthophotographies,301084.09,5035309.31,-73.5475127202215,45.4577031823754
147,Verdun,Archie-Wilcox,jardins communautaires,boul. Lasalle/rue Melrose,,,,orthophotographies,299714.67,5034772.92,-73.5650169713038,45.4528678517425
148,Verdun,Natatorium,Piscine,boul. Lasalle/rue Stephens,,,accès restreint,orthophotographies,298849.41,5033734.67,-73.5760669275707,45.4435183172986
149,Verdun,Natatorium,Piscine,boul. Lasalle/rue Stephens,,,accès restreint,orthophotographies,298863.68,5033752.93,-73.5758847333250,45.4436827515381
150,Verdun,Natatorium,Piscine,boul. Lasalle/rue Stephens,,,accès restreint,orthophotographies,298882.28,5033686.51,-73.5756461686020,45.4430852277618
151,Verdun,Norman-Dawe,,rue Woodland/rue Bannantyne,,,,orthophotographies,298654.19,5034732.6,-73.5785749067769,45.4524965101464
152,Verdun,Adrien-D.Archambault,,Chemin de la Pointe-Sud/rue des Parulines,,,,orthophotographies,300831.31,5034326.94,-73.5507369114423,45.4488619304488
153,Verdun,de l'Honorable-George-O'Reilly,,boul. Lasalle/rue Riverview,,,,orthophotographies,299154.55,5034048.54,-73.5721698999103,45.4463452121710
154,Verdun,de l'Honorable-George-O'Reilly,,boul. Lasalle/rue Godin,,,,orthophotographies,299226.23,5034083.27,-73.5712539564230,45.4466583057978
155,Verdun,De La Fontaine,tennis,place de la Fontaine (tourne-bride),,,,orthophotographies,301333.59,5035991.01,-73.5443273472831,45.4638387384392
156,Verdun,De La Fontaine,,place de la Fontaine (tourne-bride),,,,orthophotographies,301274.9,5035926.68,-73.5450773947526,45.4632595718719
157,Verdun,,,Chemin de la Pointe-Nord/rue de la Rotonde,,,,orthophotographies,301784.16,5037007.47,-73.5385718408805,45.4729874270676
158,Verdun,de la Reine-Élizabeth,,rue Crawford/rue Penniston,,,,orthophotographies,297595.65,5033197.84,-73.5920859768643,45.4386758464251
159,Verdun,Arthur-Therrien,baseball,boul. Gaétan-Laberge,,,,orthophotographies,300017.6,5036247.97,-73.5611583002149,45.4661432191555
160,Verdun,Arthur-Therrien,baseball,boul. Gaétan-Laberge,,,,orthophotographies,299998.45,5036271.07,-73.5614034198280,45.4663509527397
161,Verdun,Labelle,,rue Henri-Duhamel/rue de Verdun,,,,orthophotographies,299299.37,5036956.41,-73.5703510944878,45.4725128131732
162,Verdun,Willibrord,,rue Bannantyne/rue Willibrord,,,,orthophotographies,298878,5035496.19,-73.5757226676873,45.4593696049074
163,Verdun,Woodland,,rue Woodland/rue Wellington,,,,orthophotographies,299541.09,5034672.63,-73.5672351528308,45.4519641070232
164,Verdun,De La Fontaine,,place de la Fontaine (tourne-bride),,,,orthophotographies,301392.54,5036011.25,-73.5435736539818,45.4640211579132
165,Verdun,De La Fontaine,,place de la Fontaine (tourne-bride),,,,orthophotographies,301374.5,5036071.43,-73.5438047638256,45.4645625987446
166,Verdun,De La Fontaine,,place de la Fontaine/rue Berlioz,,,,orthophotographies,301467.79,5035914.1,-73.5426107195395,45.4631473176096
167,Le Sud-Ouest,Brewster,,ave Brewster/rue Saint-Jacques,,,,orthophotographies,298364.38,5038083.51,-73.5823240386162,45.4826469881113
168,Le Sud-Ouest,David-Lefebvre,,rue Vinet/rue Quesnel,,,,orthophotographies,298740.67,5038485.76,-73.5775155295401,45.4862699828013
169,Le Sud-Ouest,de l'Encan,,boul. Georges-Vanier/rue Notre-Dame Ouest,,,,orthophotographies,299122.09,5038330.51,-73.5726343253176,45.4848761802612
170,Le Sud-Ouest,des Cordonniers,,rue Bourget/rue Notre-Dame Ouest,,,,orthophotographies,298510.77,5037690.03,-73.5804463900214,45.4791076096942
171,Le Sud-Ouest,Gadbois,,rue des Utilités publiques/chemin de la Côte-Saint-Paul,,,,orthophotographies,297337.54,5036387.78,-73.5954335341273,45.4673778042842
172,Le Sud-Ouest,Jacques-Viger,,rue Saint-Philippe/rue Sainte-Philomène,,,,orthophotographies,298241.88,5037275.56,-73.5838802610298,45.4753755433897
173,Le Sud-Ouest,Jessie-Maxwell-Smith,,rue Saint-Antoine Ouest/place Richmond,,,,orthophotographies,299085.95,5039089.86,-73.5731054822130,45.4917088555216
174,Le Sud-Ouest,Polyvalente Saint-Henri,,rue du Couvent/rue Saint-Antoine Ouest,,,,orthophotographies,298015.87,5037675.18,-73.5867765105778,45.4789693490225
175,Le Sud-Ouest,Sainte-Cunégonde,,rue Notre-Dame Ouest/rue Charlevoix,,,,orthophotographies,298826.61,5038050.03,-73.5764108203221,45.4823498281249
176,Le Sud-Ouest,Vinet,,rue Charlevoix/rue Workman,,,,orthophotographies,298840.41,5038126.97,-73.5762352264456,45.4830422871593
177,Le Sud-Ouest,Square Sainte-Élizabeth,,rue du square Sainte-Élizabeth/rue De Courcelle,,,,orthophotographies,297537.73,5037223.59,-73.5928857645931,45.4749009247713
178,Le Sud-Ouest,Place Roland-Proulx,,rue du Square-Sir-Georges-Étienne-Cartier/rue Saint-Ambroise,,,,orthophotographies,298200.12,5036946.93,-73.5844099682367,45.4724179838495
179,Le Sud-Ouest,Herb-Trawick,,rue Notre-DAme Ouest/rue Saint-Martin,,,,orthophotographies,299388.86,5038766.74,-73.5692264965382,45.4888036927982
180,Le Sud-Ouest,Carré d'Hibernia,,rue Grand Trunk/rue Laprairie,,,,orthophotographies,299776.76,5037679.41,-73.5642528439406,45.4790223025200
181,Le Sud-Ouest,D'Argenson,baseball,rue du Centre/ave Atwater,,,,orthophotographies,299163.94,5037395.82,-73.5720882355495,45.4764657502313
182,Le Sud-Ouest,Le Ber,,ave Ash/rue Le Ber,,,,orthophotographies,300514.32,5037536.68,-73.5548173880031,45.4777428686637
183,Le Sud-Ouest,Le Ber,,ave Ash/rue Le Ber,,,,orthophotographies,300637.65,5037581.14,-73.5532402728631,45.4781436865964
184,Le Sud-Ouest,Atwater / Saint-Charles,,rue Saint-Charles/rue Thomas-Keefer,,,,orthophotographies,299058.53,5037507.25,-73.5734377874211,45.4774675902691
185,Le Sud-Ouest,Saint-Gabriel,,rue Charlevoix/rue Grand Trunk,,,,orthophotographies,299541.86,5037533.45,-73.5672559124382,45.4777071572516
186,Le Sud-Ouest,Campbell-Ouest ou parc Oscar-Peterson,,rue Quesnel/rue Chatham,,,,orthophotographies,299001.59,5038785.97,-73.5741811923200,45.4889736229050
